S&P 500,,,,,,,Dow Jones,,,,,,,,Russell 2000,,,,,,,,Barkshire Hathaway (BRK-B),,,,,,,,,
Year,Beginning Price,Ending Price,Gain or Loss,Percent Gain or Loss,Annualized return,,Year,Beginning Price,Ending Price,Gain or Loss,Percent Gain or Loss,Annualized return,Against S&P,,Year,Beginning Price,Ending Price,Gain or Loss,Percent Gain or Loss,Annualized return,Against S&P,,Year,Beginning Price,,Ending Price,,Gain or Loss,Percent Gain or Loss,Annualized return,Against S&P,Against Russell 2000
1975 - 2013,$68.56,"$1,848.36","$1,779.80",2595.97%,9.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988 - 2013,$247.08,"$1,848.36","$1,601.28",648.08%,8.93%,,,,,,,,,,1988 - 2013,120.42,1163.64,1043.22,866.32%,9.93%,218.24%,,,,,,,,,,,
1997 - 201,$740.74,"$1,848.36","$1,107.62",149.53%,8.14%,,,,,,,,,,1997 - 2013,362.61,1163.64,801.03,220.91%,9.40%,71.38%,,1997 - 2013,,$22.24,,$118.56,$96.32,433.09%,12.23%,283.56%,212.19%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,$68.56,$90.19,$21.63,31.55%,,,1975,616.24,852.41,236.17,38.32% ,,,,,,,,,,,,,,,,,,,,,
1976,$90.19,$107.46,$17.27,19.15%,,,1976,852.41,1004.65,152.24,17.86% ,,,,,,,,,,,,,,,,,,,,,
1977,$107.46,$95.10,-$12.36,-11.50%,,,1977,1004.65,831.17,-173.48,-17.27% ,,,,,,,,,,,,,,,,,,,,,
1978,$95.10,$96.73,$1.63,1.71%,,,1978,831.17,805.01,-26.16,-3.15% ,,,,,,,,,,,,,,,,,,,,,
1979,$96.73,$107.94,$11.21,11.59%,,,1979,805.01,838.74,33.73,4.19% ,,,,,,,,,,,,,,,,,,,,,
1980,$107.94,$135.76,$27.82,25.77%,,,1980,838.74,963.98,125.24,14.93% ,,,,,,,,,,,,,,,,,,,,,
1981,$135.76,$122.55,-$13.21,-9.73%,,,1981,963.98,875,-88.98,-9.23% ,,,,,,,,,,,,,,,,,,,,,
1982,$122.55,$140.64,$18.09,14.76%,,,1982,875,1046.55,171.55,19.61% ,,,,,,,,,,,,,,,,,,,,,
1983,$140.64,$164.93,$24.29,17.27%,,,1983,1046.55,1258.64,212.09,20.27% ,,,,,,,,,,,,,,,,,,,,,
1984,$164.93,$167.24,$2.31,1.40%,,,1984,1258.64,1211.57,-47.07,-3.74% ,,,,,,,,,,,,,,,,,,,,,
1985,$167.24,$211.28,$44.04,26.33%,,,1985,1211.57,1546.67,335.1,27.66% ,,,,,,,,,,,,,,,,,,,,,
1986,$211.28,$242.17,$30.89,14.62%,,,1986,1546.67,1895.95,349.28,22.58% ,,,,,,,,,,,,,,,,,,,,,
1987,$242.17,$247.08,$4.91,2.03%,,,1987,1895.95,1938.83,42.88,2.26% ,,,,,,,,,,,,,,,,,,,,,
1988,$247.08,$277.72,$30.64,12.40%,,,1988,1938.83,2168.57,229.74,11.85% ,,,,1988,120.42,147.37,26.95,22.38%,,9.98%,,,,,,,,,,,
1989,$277.72,$353.40,$75.68,27.25%,,,1989,2168.57,2753.2,584.63,26.96% ,,,,1989,147.37,168.31,20.94,14.21%,,-13.04%,,,,,,,,,,,
1990,$353.40,$330.22,-$23.18,-6.56%,,,1990,2753.2,2633.66,-119.54,-4.34% ,,,,1990,168.31,132.19,-36.12,-21.46%,,-14.90%,,,,,,,,,,,
1991,$330.22,$417.09,$86.87,26.31%,,,1991,2633.66,3168.83,535.17,20.32% ,,,,1991,132.19,189.93,57.74,43.68%,,17.37%,,,,,,,,,,,
1992,$417.09,$435.71,$18.62,4.46%,,,1992,3168.83,3301.11,132.28,4.17% ,,,,1992,189.93,221.01,31.08,16.36%,,11.90%,,,,,,,,,,,
1993,$435.71,$466.45,$30.74,7.06%,,,1993,3301.11,3754.09,452.98,13.72% ,,,,1993,221.01,258.58,37.57,17.00%,,9.94%,,,,,,,,,,,
1994,$466.45,$459.27,-$7.18,-1.54%,,,1994,3754.09,3834.44,80.35,2.14% ,,,,1994,258.58,250.36,-8.22,-3.18%,,-1.64%,,,,,,,,,,,
1995,$459.27,$615.93,$156.66,34.11%,,,1995,3834.44,5117.12,1282.68,33.45% ,,,,1995,250.36,315.97,65.61,26.21%,,-7.90%,,,,,,,,,,,
1996,$615.93,$740.74,$124.81,20.26%,,,1996,5117.12,6448.27,1331.15,26.01% ,,,,1996,315.97,362.61,46.64,14.76%,,-5.50%,,,,,,,,,,,
1997,$740.74,$970.43,$229.69,31.01%,,,1997,6448.27,7908.25,1459.98,22.64% ,,,,1997,362.61,437.02,74.41,20.52%,,-10.49%,,1997,"$1,112.00",$22.24,"$1,539.00",$30.78,$8.54,38.40%,,7.39%,17.88%
1998,$970.43,"$1,229.23",$258.80,26.67%,,,1998,7908.25,9181.43,1273.18,16.10% ,,,,1998,437.02,421.96,-15.06,-3.45%,,-30.11%,,1998,"$1,539.00",$30.78,"$2,350.00",$47.00,$16.22,52.70%,,26.03%,56.14%
1999,"$1,229.23","$1,469.25",$240.02,19.53%,,,1999,9181.43,11497.12,2315.69,25.22% ,,,,1999,421.96,504.75,82.79,19.62%,,0.09%,,1999,"$2,350.00",$47.00,"$1,830.00",$36.60,-$10.40,-22.13%,,-41.65%,-41.75%
2000,"$1,469.25","$1,320.28",-$148.97,-10.14%,,,2000,11497.12,10786.85,-710.27,-6.18% ,,,,2000,504.75,483.53,-21.22,-4.20%,,5.94%,,2000,"$1,830.00",$36.60,"$2,354.00",$47.08,$10.48,28.63%,,38.77%,32.84%
2001,"$1,320.28","$1,148.08",-$172.20,-13.04%,,,2001,10786.85,10021.5,-765.35,-7.10% ,,,,2001,483.53,488.5,4.97,1.03%,,14.07%,,2001,"$2,354.00",$47.08,"$2,525.00",$50.50,$3.42,7.26%,,20.31%,6.24%
2002,"$1,148.08",$879.82,-$268.26,-23.37%,,,2002,10021.5,8341.63,-1679.87,-16.76% ,,,,2002,488.5,383.09,-105.41,-21.58%,,1.79%,,2002,"$2,525.00",$50.50,"$2,423.00",$48.46,-$2.04,-4.04%,,19.33%,17.54%
2003,$879.82,"$1,111.92",$232.10,26.38%,,,2003,8341.63,10453.92,2112.29,25.32% ,,,,2003,383.09,556.91,173.82,45.37%,,18.99%,,2003,"$2,423.00",$48.46,"$2,815.00",$56.30,$7.84,16.18%,,-10.20%,-29.19%
2004,"$1,111.92","$1,211.92",$100.00,8.99%,,,2004,10453.92,10783.01,329.09,3.15% ,,,,2004,556.91,651.57,94.66,17.00%,,8.00%,,2004,"$2,815.00",$56.30,"$2,936.00",$58.72,$2.42,4.30%,,-4.70%,-12.70%
